vessel_name,imo_number,trajectory_sequence_json,current_port,current_status
Energy Atlantic,IMO9649328,"[{""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2016-07-22"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2016-08-08"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2017-03-27"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2017-04-13"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2017-05-23"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2017-06-09"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2017-07-18"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2017-08-04"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""MYBTU"", ""name"": ""Bintulu"", ""date"": ""2018-03-28"", ""lat"": 3.2, ""lon"": 113.04}, {""port"": ""MYBTU"", ""name"": ""Bintulu"", ""date"": ""2018-04-14"", ""lat"": 3.2, ""lon"": 113.04}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2018-06-11"", ""lat"": 29.73, ""lon"": -93.87}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2018-06-28"", ""lat"": 29.73, ""lon"": -93.87}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2018-07-16"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2018-08-02"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2020-05-04"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""NGBON"", ""name"": ""Bonny"", ""date"": ""2020-05-21"", ""lat"": 4.45, ""lon"": 7.16}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-06-10"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2020-06-27"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2020-07-10"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2020-07-27"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Underway
Energy Delos,IMO9994565,"[{""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-08-15"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Energy Endeavour,IMO9854624,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2018-12-13"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2018-12-30"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2023-06-06"", ""lat"": 29.73, ""lon"": -93.87}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2023-06-23"", ""lat"": 29.73, ""lon"": -93.87}]",Sabine Pass,Operating at berth
Energy Fidelity,IMO9540089,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2023-02-13"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2023-03-02"", ""lat"": 35.5, ""lon"": 129.38}]",Ulsan,Operating at berth
Energy Fortitude,IMO9948700,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2023-01-20"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2023-02-06"", ""lat"": 35.5, ""lon"": 129.38}]",Ulsan,Operating at berth
Energy Intelligence,IMO9881201,"[{""port"": ""CNJGT"", ""name"": ""Tangshan (Jingtang)"", ""date"": ""2021-11-08"", ""lat"": 39.2, ""lon"": 119.01}, {""port"": ""CNJGT"", ""name"": ""Tangshan (Jingtang)"", ""date"": ""2021-11-25"", ""lat"": 39.2, ""lon"": 119.01}]",Tangshan (Jingtang),Underway
Energy Liberty,IMO9736092,"[{""port"": ""AUDAM"", ""name"": ""Dampier"", ""date"": ""2020-02-13"", ""lat"": -20.65, ""lon"": 116.71}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2020-02-17"", ""lat"": 29.73, ""lon"": -93.87}, {""port"": ""AUDAM"", ""name"": ""Dampier"", ""date"": ""2020-03-01"", ""lat"": -20.65, ""lon"": 116.71}, {""port"": ""USSPG"", ""name"": ""Sabine Pass"", ""date"": ""2020-03-05"", ""lat"": 29.73, ""lon"": -93.87}]",Sabine Pass,Underway
Energy Pacific,IMO9854612,"[{""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2022-10-14"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2022-10-31"", ""lat"": 25.92, ""lon"": 51.53}]",Ras Laffan,Underway
Energy Progress,IMO9274226,"[{""port"": ""AUDAM"", ""name"": ""Dampier"", ""date"": ""2014-06-05"", ""lat"": -20.65, ""lon"": 116.71}, {""port"": ""AUDAM"", ""name"": ""Dampier"", ""date"": ""2014-06-22"", ""lat"": -20.65, ""lon"": 116.71}]",Dampier,Underway
Energy Spirit,IMO9269207,"[{""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2020-07-01"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2020-07-18"", ""lat"": 35.85, ""lon"": -0.31}]",Arzew,Underway
Energy Triumph,IMO9817614,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-06-21"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2018-11-06"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-06-24"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2019-07-11"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2019-07-28"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2020-01-23"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-02-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2020-02-26"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-03-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-10-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-10-12"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-10-26"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2020-10-29"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2020-11-15"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-12-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-12-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2021-01-05"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2021-06-30"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-11-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2023-05-16"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2024-04-10"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2024-04-27"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-08-05"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Energy Trophy,IMO9817626,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-06-14"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-07-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-08-16"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-09-02"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-05-08"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-06-13"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2019-09-24"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""ZASDB"", ""name"": ""Saldanha Bay"", ""date"": ""2019-10-11"", ""lat"": -33.02, ""lon"": 17.95}, {""port"": ""INSIK"", ""name"": ""Sikka / Jamnagar"", ""date"": ""2019-10-28"", ""lat"": 22.43, ""lon"": 69.84}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-10-31"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2019-11-14"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2019-12-01"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2019-12-18"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2020-01-04"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-01-09"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-03-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-06-25"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-04-29"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2021-06-24"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2021-10-07"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-11-11"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-12-13"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-12-30"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2022-01-07"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2023-08-17"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2026-07-16"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Ephesos,IMO9607423,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2018-09-24"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-10-08"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-10-11"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-10-28"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2021-06-21"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2022-05-13"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2023-08-30"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-09-16"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-10-03"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Waiting at anchor
Epic Bali,IMO9477450,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-11-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2023-08-17"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2023-08-24"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-09-03"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Waiting at anchor
Epic Bell,IMO9602354,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-03-05"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-04-16"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Bird,IMO9567375,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2021-03-11"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Underway
Epic Borinquen,IMO9548472,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-12-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2021-01-21"", ""lat"": 51.92, ""lon"": 4.47}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-02-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2023-08-03"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Operating at berth
Epic Cordova,IMO9498279,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-07-09"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Madeira,IMO9171555,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-09-24"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Manhattan,IMO9690957,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-09-23"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Salina,IMO9895781,"[{""port"": ""KRUSN"", ""name"": ""Ulsan"", ""date"": ""2021-08-12"", ""lat"": 35.5, ""lon"": 129.38}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-10-21"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2023-02-17"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Epic Samos,IMO9150510,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-17"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Sardinia,IMO9389431,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-08-19"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Epic Shikoku,IMO9261052,"[{""port"": ""USCRP"", ""name"": ""Corpus Christi"", ""date"": ""2022-10-27"", ""lat"": 27.81, ""lon"": -97.39}]",Corpus Christi,Underway
Epic Susak,IMO9085256,"[{""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2021-10-14"", ""lat"": 29.74, ""lon"": -95.27}, {""port"": ""USHOU"", ""name"": ""Houston"", ""date"": ""2022-10-13"", ""lat"": 29.74, ""lon"": -95.27}]",Houston,Underway
Episkopi,IMO9205067,"[{""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-04-30"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-06-15"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-07-02"", ""lat"": 1.28, ""lon"": 103.85}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2018-10-01"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""SGSIN"", ""name"": ""Singapore"", ""date"": ""2018-10-18"", ""lat"": 1.28, ""lon"": 103.85}]",Singapore,Underway
Epsilongas,IMO9984747,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2022-08-18"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Underway
Equinor TBN,IMO9331581,"[{""port"": ""NLRTM"", ""name"": ""Rotterdam"", ""date"": ""2021-08-19"", ""lat"": 51.92, ""lon"": 4.47}]",Rotterdam,Underway
Erbil,IMO9733818,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-05-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-10-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2019-12-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-01-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2020-03-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2020-08-12"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2020-08-29"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-02-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-08-03"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""SAYNB"", ""name"": ""Yanbu"", ""date"": ""2021-08-12"", ""lat"": 24.09, ""lon"": 38.06}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2021-08-20"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2021-10-26"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-11-18"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2021-11-24"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2021-12-05"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-01-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-02-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-03-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-03-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-03-30"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-06-30"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2022-07-17"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2022-07-19"", ""lat"": 29.87, ""lon"": -93.93}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2022-08-05"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-09-29"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-11-08"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-11-15"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-11"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-01-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-02-23"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-03-22"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-04-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-05-09"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2023-12-27"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-02-19"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-04-12"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-06-07"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-06-17"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-07-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-10-29"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SARRT"", ""name"": ""Ras Tanura"", ""date"": ""2025-01-08"", ""lat"": 26.65, ""lon"": 50.16}, {""port"": ""USPOA"", ""name"": ""Port Arthur / Nederland"", ""date"": ""2025-04-04"", ""lat"": 29.87, ""lon"": -93.93}]",Port Arthur / Nederland,Operating at berth
Erietta Latsis,IMO9923499,"[{""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2022-06-24"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-10-02"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2024-11-21"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2026-02-18"", ""lat"": 26.83, ""lon"": 50.02}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2026-07-07"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Operating at berth
Erviken,IMO9274812,"[{""port"": ""DZAZW"", ""name"": ""Arzew"", ""date"": ""2018-03-02"", ""lat"": 35.85, ""lon"": -0.31}, {""port"": ""CNNGB"", ""name"": ""Ningbo-Zhoushan"", ""date"": ""2018-03-19"", ""lat"": 29.87, ""lon"": 121.55}, {""port"": ""SAJUA"", ""name"": ""Juaymah"", ""date"": ""2018-04-05"", ""lat"": 26.83, ""lon"": 50.02}]",Juaymah,Underway
Esshu Maru,IMO9666560,"[{""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2015-03-23"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""QARLF"", ""name"": ""Ras Laffan"", ""date"": ""2015-04-09"", ""lat"": 25.92, ""lon"": 51.53}, {""port"": ""MYBTU"", ""name"": ""Bintulu"", ""date"": ""2017-12-19"", ""lat"": 3.2, ""lon"": 113.04}, {""port"": ""MYBTU"", ""name"": ""Bintulu"", ""date"": ""2018-01-05"", ""lat"": 3.2, ""lon"": 113.04}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-01-17"", ""lat"": 25.13, ""lon"": 56.34}, {""port"": ""AEFJR"", ""name"": ""Fujairah"", ""date"": ""2018-02-03"", ""lat"": 25.13, ""lon"": 56.34}]",Fujairah,Underway
